Phase,Iteration,Time,Speed,Acceleration,F_motor,F_res,F_total
Accelerating,274,137,68.8337,0.423026,56.666,13.1883,43.4777
Accelerating,275,137.5,69.0433,0.419219,56.3183,13.2319,43.0864
Accelerating,276,138,69.2511,0.415475,55.9769,13.2753,42.7016
Accelerating,277,138.5,69.457,0.411794,55.6416,13.3183,42.3232
Accelerating,278,139,69.6611,0.408173,55.3122,13.3611,41.9511
Accelerating,279,139.5,69.8634,0.404611,54.9885,13.4035,41.585
Accelerating,280,140,70.0639,0.401106,54.6705,13.4457,41.2248
Coasting,281,140.5,69.9983,-0.131231,0,13.4876,-13.4876
Coasting,282,141,69.9327,-0.131098,0,13.4739,-13.4739
Coasting,283,141.5,69.8673,-0.130964,0,13.4602,-13.4602
Coasting,284,142,69.8018,-0.130831,0,13.4465,-13.4465
Coasting,285,142.5,69.7365,-0.130698,0,13.4329,-13.4329
Coasting,286,143,69.6712,-0.130566,0,13.4193,-13.4193
Coasting,287,143.5,69.606,-0.130433,0,13.4057,-13.4057
Coasting,288,144,69.5408,-0.130301,0,13.3921,-13.3921
Coasting,289,144.5,69.4758,-0.130169,0,13.3785,-13.3785
Coasting,290,145,69.4107,-0.130038,0,13.365,-13.365
Coasting,291,145.5,69.3458,-0.129906,0,13.3515,-13.3515
Coasting,292,146,69.2809,-0.129775,0,13.338,-13.338
Coasting,293,146.5,69.2161,-0.129644,0,13.3245,-13.3245
Coasting,294,147,69.1513,-0.129513,0,13.3111,-13.3111
Coasting,295,147.5,69.0866,-0.129382,0,13.2976,-13.2976
Coasting,296,148,69.022,-0.129252,0,13.2842,-13.2842
Coasting,297,148.5,68.9574,-0.129122,0,13.2709,-13.2709
Coasting,298,149,68.893,-0.128992,0,13.2575,-13.2575
Coasting,299,149.5,68.8285,-0.128862,0,13.2442,-13.2442
Coasting,300,150,68.7642,-0.128733,0,13.2309,-13.2309
Coasting,301,150.5,68.6999,-0.128604,0,13.2176,-13.2176
Coasting,302,151,68.6356,-0.128475,0,13.2043,-13.2043
Coasting,303,151.5,68.5714,-0.128346,0,13.1911,-13.1911
Coasting,304,152,68.5073,-0.128217,0,13.1779,-13.1779
Coasting,305,152.5,68.4433,-0.128089,0,13.1647,-13.1647
Coasting,306,153,68.3793,-0.127961,0,13.1515,-13.1515
Coasting,307,153.5,68.3154,-0.127833,0,13.1383,-13.1383
Coasting,308,154,68.2515,-0.127705,0,13.1252,-13.1252
Coasting,309,154.5,68.1878,-0.127577,0,13.1121,-13.1121
Coasting,310,155,68.124,-0.12745,0,13.099,-13.099
Coasting,311,155.5,68.0604,-0.127323,0,13.086,-13.086
Coasting,312,156,67.9968,-0.127196,0,13.0729,-13.0729
Coasting,313,156.5,67.9332,-0.127069,0,13.0599,-13.0599
Coasting,314,157,67.8698,-0.126943,0,13.0469,-13.0469
Coasting,315,157.5,67.8064,-0.126817,0,13.0339,-13.0339
Coasting,316,158,67.743,-0.126691,0,13.021,-13.021
Coasting,317,158.5,67.6797,-0.126565,0,13.0081,-13.0081
Coasting,318,159,67.6165,-0.126439,0,12.9952,-12.9952
Coasting,319,159.5,67.5533,-0.126314,0,12.9823,-12.9823
Coasting,320,160,67.4903,-0.126189,0,12.9694,-12.9694
Coasting,321,160.5,67.4272,-0.126064,0,12.9566,-12.9566
Coasting,322,161,67.3643,-0.125939,0,12.9437,-12.9437
Coasting,323,161.5,67.3013,-0.125815,0,12.9309,-12.9309
Coasting,324,162,67.2385,-0.12569,0,12.9182,-12.9182
Coasting,325,162.5,67.1757,-0.125566,0,12.9054,-12.9054
Coasting,326,163,67.113,-0.125442,0,12.8927,-12.8927
Coasting,327,163.5,67.0503,-0.125318,0,12.88,-12.88
Coasting,328,164,66.9877,-0.125195,0,12.8673,-12.8673
Coasting,329,164.5,66.9252,-0.125072,0,12.8546,-12.8546
Coasting,330,165,66.8627,-0.124949,0,12.8419,-12.8419
Coasting,331,165.5,66.8003,-0.124826,0,12.8293,-12.8293
Coasting,332,166,66.738,-0.124703,0,12.8167,-12.8167
Coasting,333,166.5,66.6757,-0.124581,0,12.8041,-12.8041
Coasting,334,167,66.6134,-0.124458,0,12.7915,-12.7915
Coasting,335,167.5,66.5513,-0.124336,0,12.779,-12.779
Coasting,336,168,66.4892,-0.124214,0,12.7665,-12.7665
Coasting,337,168.5,66.4271,-0.124093,0,12.754,-12.754
Coasting,338,169,66.3651,-0.123971,0,12.7415,-12.7415
Coasting,339,169.5,66.3032,-0.12385,0,12.729,-12.729
Coasting,340,170,66.2413,-0.123729,0,12.7166,-12.7166
Coasting,341,170.5,66.1795,-0.123608,0,12.7042,-12.7042
Coasting,342,171,66.1178,-0.123487,0,12.6918,-12.6918
Coasting,343,171.5,66.0561,-0.123367,0,12.6794,-12.6794
Coasting,344,172,65.9945,-0.123247,0,12.667,-12.667
Coasting,345,172.5,65.9329,-0.123127,0,12.6547,-12.6547
Coasting,346,173,65.8714,-0.123007,0,12.6424,-12.6424
Coasting,347,173.5,65.81,-0.122887,0,12.6301,-12.6301
Coasting,348,174,65.7486,-0.122768,0,12.6178,-12.6178
Coasting,349,174.5,65.6873,-0.122649,0,12.6055,-12.6055
Coasting,350,175,65.626,-0.122529,0,12.5933,-12.5933
Coasting,351,175.5,65.5648,-0.122411,0,12.5811,-12.5811
Coasting,352,176,65.5037,-0.122292,0,12.5689,-12.5689
Coasting,353,176.5,65.4426,-0.122174,0,12.5567,-12.5567
Coasting,354,177,65.3815,-0.122055,0,12.5446,-12.5446
Coasting,355,177.5,65.3206,-0.121937,0,12.5324,-12.5324
Coasting,356,178,65.2597,-0.121819,0,12.5203,-12.5203
Coasting,357,178.5,65.1988,-0.121702,0,12.5082,-12.5082
Coasting,358,179,65.138,-0.121584,0,12.4961,-12.4961
Coasting,359,179.5,65.0773,-0.121467,0,12.4841,-12.4841
Coasting,360,180,65.0166,-0.12135,0,12.4721,-12.4721
Coasting,361,180.5,64.956,-0.121233,0,12.46,-12.46
Accelerating,362,181,65.2029,0.493806,63.2004,12.448,50.7523
Accelerating,363,181.5,65.4475,0.489096,62.7651,12.497,50.2682
Accelerating,364,182,65.6895,0.484068,62.2969,12.5455,49.7514
Accelerating,365,182.5,65.9291,0.47914,61.8387,12.5937,49.245
Accelerating,366,183,66.1662,0.47431,61.3901,12.6416,48.7485
Accelerating,367,183.5,66.401,0.469574,60.9508,12.6891,48.2618
Accelerating,368,184,66.6335,0.464929,60.5206,12.7362,47.7843
Accelerating,369,184.5,66.8636,0.460372,60.099,12.783,47.316
Accelerating,370,185,67.0916,0.455901,59.686,12.8295,46.8565
Accelerating,371,185.5,67.3174,0.451512,59.2811,12.8756,46.4054
Accelerating,372,186,67.541,0.447205,58.8841,12.9214,45.9627
Accelerating,373,186.5,67.7624,0.442975,58.4949,12.9669,45.528
Accelerating,374,187,67.9819,0.438821,58.1131,13.012,45.1011
Accelerating,375,187.5,68.1992,0.434741,57.7386,13.0569,44.6817
Accelerating,376,188,68.4146,0.430733,57.3711,13.1014,44.2697
Accelerating,377,188.5,68.628,0.426794,57.0105,13.1456,43.8649
Accelerating,378,189,68.8394,0.422922,56.6565,13.1895,43.467
Accelerating,379,189.5,69.049,0.419116,56.309,13.2331,43.0758
Accelerating,380,190,69.2567,0.415374,55.9677,13.2764,42.6912
Accelerating,381,190.5,69.4625,0.411694,55.6325,13.3195,42.313
Accelerating,382,191,69.6666,0.408075,55.3033,13.3622,41.9411
Accelerating,383,191.5,69.8688,0.404515,54.9798,13.4047,41.5751
Accelerating,384,192,70.0693,0.401012,54.662,13.4469,41.2151
Coasting,385,192.5,70.0037,-0.131242,0,13.4888,-13.4888
Coasting,386,193,69.9382,-0.131109,0,13.4751,-13.4751
Coasting,387,193.5,69.8727,-0.130975,0,13.4614,-13.4614
Coasting,388,194,69.8073,-0.130842,0,13.4477,-13.4477
Coasting,389,194.5,69.7419,-0.130709,0,13.434,-13.434
Coasting,390,195,69.6766,-0.130577,0,13.4204,-13.4204
Coasting,391,195.5,69.6114,-0.130444,0,13.4068,-13.4068
Coasting,392,196,69.5462,-0.130312,0,13.3932,-13.3932
Coasting,393,196.5,69.4811,-0.13018,0,13.3796,-13.3796
Coasting,394,197,69.4161,-0.130048,0,13.3661,-13.3661
Coasting,395,197.5,69.3512,-0.129917,0,13.3526,-13.3526
Coasting,396,198,69.2863,-0.129786,0,13.3391,-13.3391
Coasting,397,198.5,69.2214,-0.129655,0,13.3256,-13.3256
Coasting,398,199,69.1567,-0.129524,0,13.3122,-13.3122
Coasting,399,199.5,69.092,-0.129393,0,13.2987,-13.2987
Coasting,400,200,69.0274,-0.129263,0,13.2853,-13.2853
Coasting,401,200.5,68.9628,-0.129133,0,13.272,-13.272
Coasting,402,201,68.8983,-0.129003,0,13.2586,-13.2586
