Phase,Iteration,Time,Total time,Distance,TotalDistance,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
Accelerating,80,0.493598,38.9434,11.3565,451.465,41.6566,0.877235,94.154,8.37983,85.7741,3.92308,1.39664,13.4954,770.912,1111.71,1249.12,1301.16,1331.16,887.443,867.443
Accelerating,81,0.493727,39.4371,11.4795,462.945,42.0898,0.866444,93.1626,8.4436,84.719,3.88177,1.40727,13.3533,778.93,1111.45,1248.82,1300.85,1330.85,887.236,867.236
Accelerating,82,0.493849,39.9309,11.601,474.546,42.5178,0.855989,92.2037,8.507,83.6967,3.84182,1.41783,13.2159,786.85,1111.19,1248.53,1300.56,1330.56,887.037,867.037
Accelerating,83,0.493966,40.4249,11.721,486.267,42.9407,0.845852,91.2755,8.57004,82.7055,3.80315,1.42834,13.0828,794.677,1110.95,1248.26,1300.27,1330.27,886.847,866.847
Accelerating,84,0.494079,40.919,11.8395,498.106,43.3587,0.836016,90.3766,8.63274,81.7438,3.76569,1.43879,12.954,802.413,1110.72,1248,1300,1330,886.665,866.665
Accelerating,85,0.494186,41.4132,11.9567,510.063,43.7719,0.826467,89.5053,8.69511,80.8102,3.72939,1.44918,12.8291,810.061,1110.49,1247.74,1299.73,1329.73,886.489,866.489
Accelerating,86,0.494289,41.9075,12.0724,522.135,44.1805,0.817191,88.6603,8.75714,79.9031,3.69418,1.45952,12.708,817.622,1110.28,1247.5,1299.48,1329.48,886.321,866.321
Accelerating,87,0.494388,42.4018,12.1869,534.322,44.5846,0.808174,87.8403,8.81885,79.0215,3.66001,1.46981,12.5904,825.1,1110.07,1247.27,1299.24,1329.24,886.16,866.16
Accelerating,88,0.494483,42.8963,12.3001,546.622,44.9843,0.799404,87.0442,8.88025,78.1639,3.62684,1.48004,12.4763,832.497,1109.87,1247.05,1299.01,1329.01,886.004,866.004
Accelerating,89,0.494574,43.3909,12.4121,559.034,45.3798,0.790869,86.2708,8.94134,77.3294,3.59462,1.49022,12.3655,839.815,1109.68,1246.83,1298.78,1328.78,885.854,865.854
Accelerating,90,0.494662,43.8856,12.5228,571.557,45.771,0.782559,85.519,9.00213,76.5169,3.56329,1.50036,12.2577,847.057,1109.49,1246.62,1298.56,1328.56,885.71,865.71
Accelerating,91,0.494746,44.3803,12.6324,584.189,46.1583,0.774464,84.7879,9.06262,75.7253,3.53283,1.51044,12.1529,854.223,1109.32,1246.42,1298.36,1328.36,885.571,865.571
Accelerating,92,0.494828,44.8751,12.7408,596.93,46.5416,0.766573,84.0766,9.12283,74.9538,3.50319,1.52047,12.051,861.316,1109.14,1246.23,1298.15,1328.15,885.436,865.436
Accelerating,93,0.494906,45.37,12.8481,609.778,46.921,0.758879,83.3842,9.18274,74.2015,3.47434,1.53046,11.9517,868.338,1108.98,1246.04,1297.96,1327.96,885.307,865.307
Accelerating,94,0.494981,45.865,12.9543,622.733,47.2967,0.751373,82.7099,9.24239,73.4675,3.44625,1.5404,11.8551,875.291,1108.82,1245.86,1297.77,1327.77,885.182,865.182
Accelerating,95,0.495054,46.3601,13.0594,635.792,47.6687,0.744046,82.0529,9.30175,72.7512,3.41887,1.55029,11.7609,882.176,1108.66,1245.69,1297.59,1327.59,885.061,865.061
Accelerating,96,0.495125,46.8552,13.1635,648.956,48.0372,0.736893,81.4126,9.36085,72.0517,3.39219,1.56014,11.6691,888.994,1108.51,1245.52,1297.42,1327.42,884.943,864.943
Accelerating,97,0.495193,47.3504,13.2666,662.222,48.4021,0.729905,80.7881,9.41969,71.3685,3.36617,1.56995,11.5796,895.748,1108.37,1245.36,1297.25,1327.25,884.83,864.83
Accelerating,98,0.495258,47.8457,13.3688,675.591,48.7636,0.723076,80.179,9.47826,70.7007,3.34079,1.57971,11.4923,902.439,1108.23,1245.2,1297.08,1327.08,884.72,864.72
Accelerating,99,0.495322,48.341,13.4699,689.061,49.1218,0.7164,79.5845,9.53658,70.048,3.31602,1.58943,11.4071,909.068,1108.09,1245.04,1296.92,1326.92,884.614,864.614
Accelerating,100,0.495384,48.8364,13.5701,702.631,49.4768,0.709871,79.0042,9.59465,69.4096,3.29184,1.59911,11.3239,915.636,1107.96,1244.9,1296.77,1326.77,884.511,864.511
Accelerating,101,0.495443,49.3318,13.6694,716.3,49.8285,0.703483,78.4374,9.65247,68.785,3.26823,1.60875,11.2427,922.146,1107.83,1244.75,1296.62,1326.62,884.411,864.411
Accelerating,102,0.495501,49.8273,13.7678,730.068,50.1771,0.697231,77.8838,9.71005,68.1737,3.24516,1.61834,11.1633,928.598,1107.71,1244.61,1296.47,1326.47,884.314,864.314
Accelerating,103,0.495557,50.3229,13.8652,743.933,50.5227,0.691111,77.3426,9.76739,67.5753,3.22261,1.6279,11.0858,934.993,1107.58,1244.48,1296.33,1326.33,884.22,864.22
Accelerating,104,0.495611,50.8185,13.9619,757.895,50.8652,0.685116,76.8137,9.82449,66.9892,3.20057,1.63742,11.01,941.332,1107.47,1244.35,1296.19,1326.19,884.129,864.129
Accelerating,105,0.495663,51.3141,14.0577,771.953,51.2049,0.679244,76.2963,9.88136,66.415,3.17901,1.64689,10.9358,947.617,1107.35,1244.22,1296.06,1326.06,884.04,864.04
Accelerating,106,0.495714,51.8098,14.1526,786.105,51.5416,0.673489,75.7903,9.93801,65.8523,3.15793,1.65633,10.8633,953.849,1107.24,1244.09,1295.93,1325.93,883.954,863.954
Accelerating,107,0.495764,52.3056,14.2468,800.352,51.8755,0.667848,75.2951,9.99442,65.3007,3.1373,1.66574,10.7923,960.029,1107.14,1243.97,1295.81,1325.81,883.87,863.87
Accelerating,108,0.495812,52.8014,14.3401,814.692,52.2067,0.662317,74.8105,10.0506,64.7598,3.1171,1.6751,10.7228,966.157,1107.03,1243.86,1295.68,1325.68,883.789,863.789
Accelerating,109,0.495859,53.2973,14.4327,829.125,52.5351,0.656891,74.3359,10.1066,64.2293,3.09733,1.68443,10.6548,972.236,1106.93,1243.74,1295.56,1325.56,883.709,863.709
Accelerating,110,0.495904,53.7932,14.5245,843.65,52.8609,0.651567,73.8712,10.1623,63.7088,3.07797,1.69372,10.5882,978.265,1106.83,1243.63,1295.45,1325.45,883.632,863.632
Accelerating,111,0.495948,54.2891,14.6155,858.265,53.1841,0.646343,73.4159,10.2179,63.198,3.059,1.70298,10.5229,984.246,1106.73,1243.52,1295.33,1325.33,883.557,863.557
Accelerating,112,0.495991,54.7851,14.7058,872.971,53.5047,0.641215,72.9698,10.2732,62.6966,3.04041,1.7122,10.459,990.179,1106.64,1243.42,1295.23,1325.23,883.483,863.483
Accelerating,113,0.496033,55.2812,14.7954,887.766,53.8228,0.636179,72.5325,10.3283,62.2042,3.02219,1.72139,10.3963,996.066,1106.55,1243.31,1295.12,1325.12,883.412,863.412
Accelerating,114,0.496073,55.7772,14.8843,902.651,54.1384,0.631234,72.1039,10.3833,61.7206,3.00433,1.73054,10.3349,1001.91,1106.46,1243.21,1295.01,1325.01,883.342,863.342
Accelerating,115,0.496113,56.2733,14.9725,917.623,54.4516,0.626375,71.6835,10.438,61.2456,2.98681,1.73966,10.2746,1007.7,1106.37,1243.12,1294.91,1324.91,883.275,863.275
Accelerating,116,0.496151,56.7695,15.06,932.683,54.7624,0.621601,71.2712,10.4925,60.7787,2.96963,1.74875,10.2155,1013.45,1106.29,1243.02,1294.81,1324.81,883.208,863.208
Accelerating,117,0.496189,57.2657,15.1469,947.83,55.0709,0.616908,70.8667,10.5468,60.3199,2.95278,1.7578,10.1576,1019.16,1106.21,1242.93,1294.72,1324.72,883.144,863.144
Accelerating,118,0.496226,57.7619,15.233,963.063,55.377,0.612296,70.4698,10.6009,59.8689,2.93624,1.76682,10.1007,1024.83,1106.12,1242.84,1294.62,1324.62,883.081,863.081
Accelerating,119,0.496261,58.2582,15.3186,978.382,55.6809,0.60776,70.0802,10.6548,59.4254,2.92001,1.7758,10.0448,1030.45,1106.05,1242.75,1294.53,1324.53,883.019,863.019
Accelerating,120,0.496296,58.7545,15.4034,993.785,55.9825,0.603299,69.6978,10.7086,58.9892,2.90407,1.78476,9.99001,1036.03,1105.97,1242.66,1294.44,1324.44,882.959,862.959
Accelerating,121,0.49633,59.2508,15.4877,1009.27,56.282,0.59891,69.3222,10.7621,58.5601,2.88843,1.79368,9.93618,1041.58,1105.89,1242.58,1294.35,1324.35,882.9,862.9
Accelerating,122,0.496363,59.7472,15.5713,1024.84,56.5793,0.594592,68.9534,10.8154,58.1379,2.87306,1.80257,9.88332,1047.08,1105.82,1242.49,1294.26,1324.26,882.843,862.843
Accelerating,123,0.496395,60.2436,15.6544,1040.5,56.8745,0.590343,68.591,10.8686,57.7224,2.85796,1.81143,9.83138,1052.54,1105.75,1242.41,1294.18,1324.18,882.787,862.787
Accelerating,124,0.496427,60.74,15.7368,1056.24,57.1675,0.586161,68.2351,10.9216,57.3135,2.84313,1.82026,9.78036,1057.96,1105.68,1242.33,1294.1,1324.1,882.732,862.732
Accelerating,125,0.496458,61.2364,15.8187,1072.05,57.4586,0.582043,67.8853,10.9744,56.9109,2.82855,1.82906,9.73022,1063.35,1105.61,1242.26,1294.02,1324.02,882.679,862.679
Accelerating,126,0.496488,61.7329,15.8999,1087.95,57.7476,0.577989,67.5414,11.027,56.5144,2.81423,1.83783,9.68094,1068.7,1105.54,1242.18,1293.94,1323.94,882.626,862.626
Accelerating,127,0.496517,62.2294,15.9806,1103.93,58.0345,0.573995,67.2034,11.0794,56.124,2.80014,1.84657,9.63249,1074.01,1105.48,1242.11,1293.86,1323.86,882.575,862.575
Accelerating,128,0.496546,62.726,16.0608,1120,58.3196,0.570062,66.8711,11.1317,55.7394,2.78629,1.85528,9.58485,1079.28,1105.41,1242.04,1293.79,1323.79,882.525,862.525
Accelerating,129,0.496574,63.2226,16.1404,1136.14,58.6027,0.566187,66.5442,11.1837,55.3605,2.77268,1.86396,9.53801,1084.52,1105.35,1241.96,1293.71,1323.71,882.476,862.476
Accelerating,130,0.496601,63.7192,16.2194,1152.36,58.8839,0.562368,66.2228,11.2356,54.9871,2.75928,1.87261,9.49193,1089.73,1105.29,1241.9,1293.64,1323.64,882.428,862.428
Accelerating,131,0.496628,64.2158,16.2979,1168.65,59.1632,0.558605,65.9066,11.2874,54.6192,2.74611,1.88123,9.44661,1094.9,1105.23,1241.83,1293.57,1323.57,882.38,862.38
Accelerating,132,0.496654,64.7124,16.3759,1185.03,59.4406,0.554896,65.5954,11.3389,54.2565,2.73314,1.88982,9.40201,1100.03,1105.17,1241.76,1293.5,1323.5,882.334,862.334
Accelerating,133,0.49668,65.2091,16.4533,1201.48,59.7162,0.551239,65.2892,11.3903,53.8989,2.72039,1.89839,9.35813,1105.13,1105.11,1241.7,1293.43,1323.43,882.289,862.289
Accelerating,134,0.496705,65.7058,16.5303,1218.01,59.99,0.547633,64.9879,11.4415,53.5464,2.70783,1.90692,9.31493,1110.2,1105.05,1241.63,1293.37,1323.37,882.245,862.245
Accelerating,135,0.496729,66.2026,16.6067,1234.62,60.2621,0.544077,64.6913,11.4926,53.1987,2.69547,1.91543,9.27242,1115.23,1105,1241.57,1293.3,1323.3,882.202,862.202
Accelerating,136,0.496753,66.6993,16.6827,1251.3,60.5324,0.54057,64.3992,11.5435,52.8558,2.6833,1.92391,9.23056,1120.24,1104.94,1241.51,1293.24,1323.24,882.159,862.159
Accelerating,137,0.496777,67.1961,16.7581,1268.06,60.8009,0.537111,64.1117,11.5942,52.5175,2.67132,1.93237,9.18934,1125.21,1104.89,1241.45,1293.18,1323.18,882.117,862.117
Accelerating,138,0.4968,67.6929,16.8331,1284.89,61.0678,0.533697,63.8285,11.6448,52.1837,2.65952,1.94079,9.14875,1130.14,1104.84,1241.39,1293.11,1323.11,882.076,862.076
Accelerating,139,0.496823,68.1897,16.9076,1301.8,61.3329,0.530329,63.5496,11.6952,51.8544,2.6479,1.94919,9.10878,1135.05,1104.79,1241.33,1293.05,1323.05,882.036,862.036
Accelerating,140,0.496845,68.6866,16.9816,1318.78,61.5964,0.527006,63.2749,11.7454,51.5295,2.63645,1.95757,9.0694,1139.93,1104.74,1241.28,1293,1323,881.997,861.997
