Phase,Iteration,Time,Speed,Acceleration,F_motor,F_res,F_total
Accelerating,267,133.5,67.3218,0.444421,58.5539,12.8772,45.6766
Accelerating,268,134,67.5419,0.440228,58.168,12.9223,45.2456
Accelerating,269,134.5,67.76,0.43611,57.7894,12.9671,44.8224
Accelerating,270,135,67.976,0.432064,57.4181,13.0115,44.4066
Accelerating,271,135.5,68.1901,0.428089,57.0537,13.0557,43.9981
Accelerating,272,136,68.4021,0.424183,56.6961,13.0995,43.5966
Accelerating,273,136.5,68.6123,0.420344,56.3451,13.143,43.202
Accelerating,274,137,68.8206,0.41657,56.0004,13.1863,42.8141
Accelerating,275,137.5,69.027,0.412859,55.6619,13.2292,42.4327
Accelerating,276,138,69.2316,0.409209,55.3295,13.2719,42.0576
Accelerating,277,138.5,69.4344,0.40562,55.003,13.3143,41.6887
Accelerating,278,139,69.6355,0.402088,54.6821,13.3564,41.3257
Accelerating,279,139.5,69.8348,0.398614,54.3668,13.3982,40.9686
Accelerating,280,140,70.0324,0.395194,54.057,13.4398,40.6172
Coasting,281,140.5,69.9668,-0.131167,0,13.481,-13.481
Coasting,282,141,69.9013,-0.131034,0,13.4673,-13.4673
Coasting,283,141.5,69.8358,-0.1309,0,13.4536,-13.4536
Coasting,284,142,69.7705,-0.130767,0,13.44,-13.44
Coasting,285,142.5,69.7051,-0.130635,0,13.4263,-13.4263
Coasting,286,143,69.6399,-0.130502,0,13.4127,-13.4127
Coasting,287,143.5,69.5747,-0.13037,0,13.3991,-13.3991
Coasting,288,144,69.5096,-0.130238,0,13.3856,-13.3856
Coasting,289,144.5,69.4445,-0.130106,0,13.372,-13.372
Coasting,290,145,69.3795,-0.129974,0,13.3585,-13.3585
Coasting,291,145.5,69.3146,-0.129843,0,13.345,-13.345
Coasting,292,146,69.2498,-0.129712,0,13.3315,-13.3315
Coasting,293,146.5,69.185,-0.129581,0,13.318,-13.318
Coasting,294,147,69.1203,-0.12945,0,13.3046,-13.3046
Coasting,295,147.5,69.0556,-0.12932,0,13.2912,-13.2912
Coasting,296,148,68.991,-0.12919,0,13.2778,-13.2778
Coasting,297,148.5,68.9265,-0.129059,0,13.2644,-13.2644
Coasting,298,149,68.862,-0.12893,0,13.2511,-13.2511
Coasting,299,149.5,68.7976,-0.1288,0,13.2378,-13.2378
Coasting,300,150,68.7333,-0.128671,0,13.2245,-13.2245
Coasting,301,150.5,68.669,-0.128542,0,13.2112,-13.2112
Coasting,302,151,68.6048,-0.128413,0,13.198,-13.198
Coasting,303,151.5,68.5407,-0.128284,0,13.1847,-13.1847
Coasting,304,152,68.4766,-0.128155,0,13.1715,-13.1715
Coasting,305,152.5,68.4126,-0.128027,0,13.1583,-13.1583
Coasting,306,153,68.3486,-0.127899,0,13.1452,-13.1452
Coasting,307,153.5,68.2847,-0.127771,0,13.132,-13.132
Coasting,308,154,68.2209,-0.127644,0,13.1189,-13.1189
Coasting,309,154.5,68.1571,-0.127516,0,13.1058,-13.1058
Coasting,310,155,68.0935,-0.127389,0,13.0928,-13.0928
Coasting,311,155.5,68.0298,-0.127262,0,13.0797,-13.0797
Coasting,312,156,67.9663,-0.127135,0,13.0667,-13.0667
Coasting,313,156.5,67.9027,-0.127009,0,13.0537,-13.0537
Coasting,314,157,67.8393,-0.126882,0,13.0407,-13.0407
Coasting,315,157.5,67.7759,-0.126756,0,13.0277,-13.0277
