Speed,F Motor,P_vvvf,P_catenary,Catenary current,VVVFcurrent
68.951,13.2697,0,30,20,0
68.8832,13.2556,0,30,20,0
68.8155,13.2416,0,30,20,0
68.7479,13.2277,0,30,20,0
68.6803,13.2137,0,30,20,0
68.6128,13.1998,0,30,20,0
68.5454,13.1859,0,30,20,0
68.478,13.172,0,30,20,0
68.4107,13.1581,0,30,20,0
68.3435,13.1443,0,30,20,0
68.2764,13.1305,0,30,20,0
68.2093,13.1167,0,30,20,0
68.1423,13.1029,0,30,20,0
68.0754,13.0892,0,30,20,0
68.0085,13.0755,0,30,20,0
67.9417,13.0618,0,30,20,0
67.875,13.0481,0,30,20,0
67.8083,13.0345,0,30,20,0
67.7417,13.0209,0,30,20,0
67.6752,13.0073,0,30,20,0
67.6088,12.9937,0,30,20,0
67.5424,12.9802,0,30,20,0
67.4761,12.9666,0,30,20,0
67.4099,12.9531,0,30,20,0
67.3437,12.9397,0,30,20,0
67.2776,12.9262,0,30,20,0
67.2116,12.9128,0,30,20,0
67.1456,12.8994,0,30,20,0
67.0797,12.886,0,30,20,0
67.0139,12.8727,0,30,20,0
66.9481,12.8593,0,30,20,0
66.8824,12.846,0,30,20,0
66.8168,12.8328,0,30,20,0
66.7513,12.8195,0,30,20,0
66.6858,12.8063,0,30,20,0
66.6203,12.7931,0,30,20,0
66.555,12.7799,0,30,20,0
66.4897,12.7667,0,30,20,0
66.4245,12.7536,0,30,20,0
66.3593,12.7404,0,30,20,0
66.2943,12.7273,0,30,20,0
66.2292,12.7143,0,30,20,0
66.1643,12.7012,0,30,20,0
66.0994,12.6882,0,30,20,0
66.0346,12.6752,0,30,20,0
65.9698,12.6622,0,30,20,0
65.9052,12.6492,0,30,20,0
65.8405,12.6363,0,30,20,0
65.776,12.6234,0,30,20,0
65.7115,12.6105,0,30,20,0
65.6471,12.5976,0,30,20,0
65.5827,12.5848,0,30,20,0
65.5184,12.5719,0,30,20,0
65.4542,12.5591,0,30,20,0
65.3901,12.5464,0,30,20,0
65.326,12.5336,0,30,20,0
65.2619,12.5209,0,30,20,0
65.198,12.5081,0,30,20,0
65.1341,12.4955,0,30,20,0
65.0703,12.4828,0,30,20,0
65.0065,12.4701,0,30,20,0
64.9428,12.4575,0,30,20,0
64.5193,12.4449,1772.44,1802.44,1201.63,1181.63
64.0931,12.3613,1772.29,1802.29,1201.53,1181.53
63.664,12.2776,1772.13,1802.13,1201.42,1181.42
63.2321,12.1938,1771.97,1801.97,1201.31,1181.31
62.7972,12.1098,1771.8,1801.8,1201.2,1181.2
62.3593,12.0256,1771.63,1801.63,1201.09,1181.09
61.9183,11.9413,1771.46,1801.46,1200.97,1180.97
61.4741,11.8569,1771.28,1801.28,1200.85,1180.85
61.0268,11.7722,1771.09,1801.09,1200.73,1180.73
60.5762,11.6874,1770.9,1800.9,1200.6,1180.6
60.1222,11.6024,1770.7,1800.7,1200.47,1180.47
59.6648,11.5173,1770.5,1800.5,1200.33,1180.33
59.2039,11.432,1770.29,1800.29,1200.2,1180.2
