Phase,Iteration,Time,Total time,Distance,TotalDistance,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
Accelerating,83,0.542518,38.1437,11.1477,452.609,41,0.895363,95.823,8.27639,87.5466,3.99263,1.3794,13.7346,758.762,1091.32,1113.59,1251.22,1303.36,1333.36,888.906,868.906
Accelerating,84,0.550453,38.6942,11.2871,463.896,41.5,0.882676,94.6544,8.34831,86.3061,3.94394,1.39139,13.5671,768.015,1091.16,1113.42,1251.04,1303.16,1333.16,888.776,868.776
Accelerating,85,0.558433,39.2526,11.4266,475.322,42,0.870272,93.514,8.42079,85.0932,3.89642,1.40346,13.4037,777.268,1091,1113.26,1250.86,1302.98,1332.98,888.65,868.65
Accelerating,86,0.566459,39.8191,11.566,486.888,42.5,0.858139,92.4008,8.49382,83.9069,3.85003,1.41564,13.2441,786.522,1090.84,1113.1,1250.68,1302.79,1332.79,888.527,868.527
Accelerating,87,0.574533,40.3936,11.7055,498.594,43,0.846269,91.3137,8.56742,82.7463,3.80474,1.4279,13.0883,795.775,1090.69,1112.95,1250.51,1302.61,1332.61,888.407,868.407
Accelerating,88,0.582656,40.9763,11.8449,510.439,43.5,0.834651,90.2519,8.64157,81.6103,3.7605,1.44026,12.9361,805.028,1090.54,1112.8,1250.34,1302.43,1332.43,888.29,868.29
Accelerating,89,0.590829,41.5671,11.9843,522.423,44,0.823278,89.2145,8.71628,80.4983,3.71727,1.45271,12.7874,814.281,1090.4,1112.65,1250.17,1302.26,1332.26,888.175,868.175
Accelerating,90,0.599053,42.1661,12.1238,534.547,44.5,0.81214,88.2007,8.79154,79.4092,3.67503,1.46526,12.6421,823.534,1090.26,1112.51,1250.01,1302.09,1332.09,888.063,868.063
Accelerating,91,0.607328,42.7735,12.2633,546.81,45,0.801229,87.2097,8.86736,78.3424,3.63374,1.47789,12.5001,832.787,1090.12,1112.37,1249.85,1301.93,1331.93,887.953,867.953
Accelerating,92,0.615658,43.3891,12.4027,559.213,45.5,0.790537,86.2407,8.94374,77.297,3.59336,1.49062,12.3612,842.041,1089.99,1112.23,1249.7,1301.77,1331.77,887.846,867.846
Accelerating,93,0.624042,44.0132,12.5422,571.755,46,0.780058,85.293,9.02068,76.2723,3.55388,1.50345,12.2253,851.294,1089.86,1112.1,1249.55,1301.61,1331.61,887.741,867.741
Accelerating,94,0.632481,44.6456,12.6816,584.437,46.5,0.769784,84.3659,9.09818,75.2677,3.51525,1.51636,12.0924,860.547,1089.73,1111.97,1249.4,1301.46,1331.46,887.639,867.639
