Phase,Iteration,Time (s),Total time (s),Distance (m),TotalDistance (m),Odo (m),Braking Distance,Slope,Radius,Speed (km/h),Speed Limit(km/h),Speed (m/s),Acceleration (km/h/s),Acceleration (m/s2),F Motor,F Res,F Total,F Motor /TM,F Res / TM,Torque,RPM,P Wheel,P_motor Out,P_motor In,P_vvvf,P_catenary,Catenary current,VVVF current,Energy Consumption,Energy of Powering,Energy of APS,Energy Catenary,Run res at 0,Run res at 5,Run res at 10,Run res at 25
Coasting,1827,1,1827,18.759327926547595,28405.5549454608,7139.287008340178,183.36714870162376,0,2000,67.46678418354702,70,18.740773384318636,-0.1338748368737786,-0.03718745468716072,0,12.978421685819091,-12.978421685819091,0,0.5407675702424621,0,1248.5665345727452,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1828,1,1828,18.722179656975033,28424.277125117776,7158.009187997152,182.5105591510149,0,2000,67.33319049253602,70,18.70366402570447,-0.13359369101099822,-0.03710935861416617,0,12.951166156343994,-12.951166156343994,0,0.5396319231809997,0,1246.0941977948046,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1829,1,1829,18.685109346397365,28442.962234464172,7176.69429734355,181.6591505561139,0,2000,67.19987692400598,70,18.666632478890566,-0.1333135685300468,-0.03703154681390189,0,12.92400983805176,-12.92400983805176,0,0.5385004099188233,0,1243.6270450723885,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1830,1,1830,18.6481167054836,28461.610351169656,7195.342414049033,180.8128884346068,0,2000,67.06684249661168,70,18.629678471281043,-0.13303442739428642,-0.036954007609524005,0,12.896948655723877,-12.896948655723877,0,0.5373728606551615,0,1241.1650582443424,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1831,1,1831,18.61120146747626,28480.221552637133,7213.95361551651,179.97173880111595,0,2000,66.93408621360679,70,18.592801726001905,-0.13275628300489334,-0.036876745279137035,0,12.869984102418824,-12.869984102418824,0,0.5362493376007843,0,1238.708218864489,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1832,1,1832,18.574363353362315,28498.795915990497,7232.527978869872,179.13566779945114,0,2000,66.80160707262777,70,18.556001964618847,-0.13247914097901023,-0.0367997613830584,0,12.84311672268738,-12.84311672268738,0,0.5351298634453076,0,1236.2565083827005,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1833,1,1833,18.537602083927297,28517.333518074425,7251.065580953799,178.30464176433844,0,2000,66.66940411334778,70,18.519278920374404,-0.13220295927999923,-0.03672304424444423,0,12.816342441311036,-12.816342441311036,0,0.5340142683879598,0,1233.8099090267956,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1834,1,1834,18.50091739825216,28535.834435472676,7269.566498352052,177.47862751782696,0,2000,66.5374763502547,70,18.48263231951522,-0.13192776309307006,-0.036646600859186126,0,12.789663699855959,-12.789663699855959,0,0.532902654160665,0,1231.3684025585026,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1835,1,1835,18.464309019085604,28554.29874449176,7288.030807371138,176.6575919451476,0,2000,66.40582280200337,70,18.446061889445403,-0.13165354825133194,-0.036570430069814426,0,12.763080094365234,-12.763080094365234,0,0.5317950039318847,0,1228.9319708166665,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
Coasting,1836,1,1836,18.427776674410474,28572.72652116617,7306.458584045548,175.84150217800243,0,2000,66.27444250410001,70,18.409567362250026,-0.13138029790335673,-0.036494527195376866,0,12.736589991186525,-12.736589991186525,0,0.5306912496327719,0,1226.5005959519915,0,0,0,0,0,0,0,42.550247749073485,210.9930131362173,0,286.5600245836427,0,0,0,0
