Phase,Iteration,Time,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_wheel,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
Accelerating,96,48,48.4021,0.729905,80.7881,9.41969,71.3685,3.36617,1.56995,11.5796,895.748,1086.2,1108.37,1245.36,1297.25,1327.25,884.83,864.83
Accelerating,97,48.5,48.7636,0.723076,80.179,9.47826,70.7007,3.34079,1.57971,11.4923,902.439,1086.06,1108.23,1245.2,1297.08,1327.08,884.72,864.72
Accelerating,98,49,49.1218,0.7164,79.5845,9.53658,70.048,3.31602,1.58943,11.4071,909.068,1085.93,1108.09,1245.04,1296.92,1326.92,884.614,864.614
Accelerating,99,49.5,49.4768,0.709871,79.0042,9.59465,69.4096,3.29184,1.59911,11.3239,915.636,1085.8,1107.96,1244.9,1296.77,1326.77,884.511,864.511
Accelerating,100,50,49.8285,0.703483,78.4374,9.65247,68.785,3.26823,1.60875,11.2427,922.146,1085.67,1107.83,1244.75,1296.62,1326.62,884.411,864.411
Accelerating,101,50.5,50.1771,0.697231,77.8838,9.71005,68.1737,3.24516,1.61834,11.1633,928.598,1085.55,1107.71,1244.61,1296.47,1326.47,884.314,864.314
Accelerating,102,51,50.5227,0.691111,77.3426,9.76739,67.5753,3.22261,1.6279,11.0858,934.993,1085.43,1107.58,1244.48,1296.33,1326.33,884.22,864.22
Accelerating,103,51.5,50.8652,0.685116,76.8137,9.82449,66.9892,3.20057,1.63742,11.01,941.332,1085.32,1107.47,1244.35,1296.19,1326.19,884.129,864.129
Accelerating,104,52,51.2049,0.679244,76.2963,9.88136,66.415,3.17901,1.64689,10.9358,947.617,1085.21,1107.35,1244.22,1296.06,1326.06,884.04,864.04
Accelerating,105,52.5,51.5416,0.673489,75.7903,9.93801,65.8523,3.15793,1.65633,10.8633,953.849,1085.1,1107.24,1244.09,1295.93,1325.93,883.954,863.954
Accelerating,106,53,51.8755,0.667848,75.2951,9.99442,65.3007,3.1373,1.66574,10.7923,960.029,1084.99,1107.14,1243.97,1295.81,1325.81,883.87,863.87
Accelerating,107,53.5,52.2067,0.662317,74.8105,10.0506,64.7598,3.1171,1.6751,10.7228,966.157,1084.89,1107.03,1243.86,1295.68,1325.68,883.789,863.789
Accelerating,108,54,52.5351,0.656891,74.3359,10.1066,64.2293,3.09733,1.68443,10.6548,972.236,1084.79,1106.93,1243.74,1295.56,1325.56,883.709,863.709
Accelerating,109,54.5,52.8609,0.651567,73.8712,10.1623,63.7088,3.07797,1.69372,10.5882,978.265,1084.69,1106.83,1243.63,1295.45,1325.45,883.632,863.632
Accelerating,110,55,53.1841,0.646343,73.4159,10.2179,63.198,3.059,1.70298,10.5229,984.246,1084.6,1106.73,1243.52,1295.33,1325.33,883.557,863.557
Accelerating,111,55.5,53.5047,0.641215,72.9698,10.2732,62.6966,3.04041,1.7122,10.459,990.179,1084.51,1106.64,1243.42,1295.23,1325.23,883.483,863.483
Accelerating,112,56,53.8228,0.636179,72.5325,10.3283,62.2042,3.02219,1.72139,10.3963,996.066,1084.42,1106.55,1243.31,1295.12,1325.12,883.412,863.412
Accelerating,113,56.5,54.1384,0.631234,72.1039,10.3833,61.7206,3.00433,1.73054,10.3349,1001.91,1084.33,1106.46,1243.21,1295.01,1325.01,883.342,863.342
Accelerating,114,57,54.4516,0.626375,71.6835,10.438,61.2456,2.98681,1.73966,10.2746,1007.7,1084.25,1106.37,1243.12,1294.91,1324.91,883.275,863.275
Accelerating,115,57.5,54.7624,0.621601,71.2712,10.4925,60.7787,2.96963,1.74875,10.2155,1013.45,1084.16,1106.29,1243.02,1294.81,1324.81,883.208,863.208
Accelerating,116,58,55.0709,0.616908,70.8667,10.5468,60.3199,2.95278,1.7578,10.1576,1019.16,1084.08,1106.21,1242.93,1294.72,1324.72,883.144,863.144
Accelerating,117,58.5,55.377,0.612296,70.4698,10.6009,59.8689,2.93624,1.76682,10.1007,1024.83,1084,1106.12,1242.84,1294.62,1324.62,883.081,863.081
Accelerating,118,59,55.6809,0.60776,70.0802,10.6548,59.4254,2.92001,1.7758,10.0448,1030.45,1083.92,1106.05,1242.75,1294.53,1324.53,883.019,863.019
Accelerating,119,59.5,55.9825,0.603299,69.6978,10.7086,58.9892,2.90407,1.78476,9.99001,1036.03,1083.85,1105.97,1242.66,1294.44,1324.44,882.959,862.959
Accelerating,120,60,56.282,0.59891,69.3222,10.7621,58.5601,2.88843,1.79368,9.93618,1041.58,1083.78,1105.89,1242.58,1294.35,1324.35,882.9,862.9
Accelerating,121,60.5,56.5793,0.594592,68.9534,10.8154,58.1379,2.87306,1.80257,9.88332,1047.08,1083.7,1105.82,1242.49,1294.26,1324.26,882.843,862.843
Accelerating,122,61,56.8745,0.590343,68.591,10.8686,57.7224,2.85796,1.81143,9.83138,1052.54,1083.63,1105.75,1242.41,1294.18,1324.18,882.787,862.787
